match_type,depth_A,depth_B,similarity,product_A,map_A,product_B,map_B,title_A,title_B,contentId_A,contentId_B
title,4,4,,cloud,posture,xdr,xdr_5,Associated assets and artifacts,Associated assets and artifacts,Vix_KbA1BX6Vl7HEJSVkEw,T99WMYFR8iFhP0O~In1i6g
title,4,4,,cloud,posture,xsiam,xsiam_3,Associated assets and artifacts,Associated assets and artifacts,Vix_KbA1BX6Vl7HEJSVkEw,NtaeqrsPO2B4D0EckR3rtQ
title,4,4,1.0000,cloud,runtime,xdr,xdr_5,Associated assets and artifacts,Associated assets and artifacts,Vix_KbA1BX6Vl7HEJSVkEw,T99WMYFR8iFhP0O~In1i6g
title,4,4,1.0000,cloud,runtime,xsiam,xsiam_3,Associated assets and artifacts,Associated assets and artifacts,Vix_KbA1BX6Vl7HEJSVkEw,NtaeqrsPO2B4D0EckR3rtQ
title,4,4,1.0000,xdr,xdr_5,xsiam,xsiam_3,Associated assets and artifacts,Associated assets and artifacts,T99WMYFR8iFhP0O~In1i6g,NtaeqrsPO2B4D0EckR3rtQ
title,4,4,0.9830,xdr,xdr_5,xsiam,xsiam_3,Attack Surface Management use cases,Attack Surface Management use cases,X03gmCAADbI2sctWfi5n5g,pb9y3y8MHonJNN0qj~gl7g
title,4,4,0.9880,xdr,xdr_5,xsiam,xsiam_3,Attack surface tests,Attack surface tests,nqjYAukajAG_ZDT6X0T4ew,TOEcDy04Sc~3dwbH8sWNKA
title,4,5,0.9790,cloud,runtime,xsiam,xsiam_3,BIOC rule details,BIOC rule details,9Lj_HIRTNXpWzPuOsAR3vA,UQIcN7MT_K~~H9KvJgVeGQ
title,4,4,0.8690,xdr,xdr_5,xsiam,xsiam_3,Broker VM data collector applets,Broker VM data collector applets,bGTRO1I9j0sOMCkxkguelw,OfOeLCjKGNX5WC2oLg4l7g
title,4,4,1.0000,xdr,xdr_5,xsiam,xsiam_3,Broker VM image installations,Broker VM image installations,~zLstbkDCkoLaFQey0FnJQ,Ys5KNbKL82PDCJlvy1c3qA
title,4,4,,cloud,posture,xdr,xdr_5,Build agents,Build agents,wtHPHIUn4qxat5L7z6T17g,2PGqdDwNA7JT63Vf6d92dw
title,4,4,0.9970,cloud,runtime,xdr,xdr_5,Build agents,Build agents,wtHPHIUn4qxat5L7z6T17g,2PGqdDwNA7JT63Vf6d92dw
title,4,4,,cloud,posture,xdr,xdr_5,Build your playbook,Build your playbook,GapZQO3S_OytKsBHsusiaQ,sRQsWz9s8g1DVCHISRLJ~Q
title,4,4,0.9917,cloud,runtime,xdr,xdr_5,Build your playbook,Build your playbook,GapZQO3S_OytKsBHsusiaQ,sRQsWz9s8g1DVCHISRLJ~Q
title,4,4,,cloud,posture,xdr,xdr_5,Case context data,Case context data,qvNAPWUH8kzw36LpsD0YBw,Ce~lua2Q24xA7zaPqYWqDg
title,4,4,1.0000,cloud,runtime,xdr,xdr_5,Case context data,Case context data,qvNAPWUH8kzw36LpsD0YBw,Ce~lua2Q24xA7zaPqYWqDg
title,5,4,1.0000,xsiam,xsiam_3,agentix,agentix,Case field types,Case field types,Y01uvtI1KD3S59DxXSuP0Q,Tes88ykCJ4sgWf51sMOPYw
title,4,4,0.9845,xdr,xdr_5,xsiam,xsiam_3,case_sensitive,case_sensitive,JRdGnPtlvuPh8xjWYSaXGA,YcPntoa9Wp548rfXPhHL7A
title,4,4,0.9757,cloud,runtime,xdr,xdr_5,Causality icons key,Causality icons key,lrNrIAeMsVV5U8sg3Bwqhw,G~4hSJ6t~CqipO40Sm0YEw
title,4,4,0.9757,cloud,runtime,xsiam,xsiam_3,Causality icons key,Causality icons key,lrNrIAeMsVV5U8sg3Bwqhw,3Me0bljkd6XwVuyj0jNO1g
title,4,4,0.9757,xdr,xdr_5,xsiam,xsiam_3,Causality icons key,Causality icons key,G~4hSJ6t~CqipO40Sm0YEw,3Me0bljkd6XwVuyj0jNO1g
title,6,4,,cloud,posture,xsiam,xsiam_3,Change the container storage directory,Change the container storage directory,Fm3AV9vMaYhRNHdjkZeliA,_Rb~UkpBySVjgtTpaeEJjA
title,6,4,,cloud,posture,agentix,agentix,Change the container storage directory,Change the container storage directory,Fm3AV9vMaYhRNHdjkZeliA,~d0ZoJ7iSGL5LFm2YyolOg
title,6,4,1.0000,cloud,runtime,xsiam,xsiam_3,Change the container storage directory,Change the container storage directory,Fm3AV9vMaYhRNHdjkZeliA,_Rb~UkpBySVjgtTpaeEJjA
title,6,4,1.0000,cloud,runtime,agentix,agentix,Change the container storage directory,Change the container storage directory,Fm3AV9vMaYhRNHdjkZeliA,~d0ZoJ7iSGL5LFm2YyolOg
title,6,4,1.0000,xdr,xdr_5,agentix,agentix,Change the container storage directory,Change the container storage directory,_Rb~UkpBySVjgtTpaeEJjA,~d0ZoJ7iSGL5LFm2YyolOg
title,4,4,1.0000,xsiam,xsiam_3,agentix,agentix,Change the container storage directory,Change the container storage directory,_Rb~UkpBySVjgtTpaeEJjA,~d0ZoJ7iSGL5LFm2YyolOg
title,4,4,,cloud,posture,xdr,xdr_5,Change the Docker image in a script,Change the Docker image in a script,oc1gXytGORbN8itGDVTNpg,gJp69VS~Q2OgZmKXpolx5g
title,4,4,0.9604,cloud,runtime,xdr,xdr_5,Change the Docker image in a script,Change the Docker image in a script,oc1gXytGORbN8itGDVTNpg,gJp69VS~Q2OgZmKXpolx5g
title,4,5,1.0000,cloud,runtime,xsiam,xsiam_3,Classify events using a classifier for issue types,Classify events using a classifier for issue types,nBDkZgPsy4FQATOwlh8S5Q,aF~HlR5xNB8CGPFhJ0kQQQ
title,4,4,1.0000,cloud,runtime,agentix,agentix,Classify events using a classifier for issue types,Classify events using a classifier for issue types,nBDkZgPsy4FQATOwlh8S5Q,FkRGyoFcA2~7SqVmC86hZA
title,5,4,1.0000,xsiam,xsiam_3,agentix,agentix,Classify events using a classifier for issue types,Classify events using a classifier for issue types,aF~HlR5xNB8CGPFhJ0kQQQ,FkRGyoFcA2~7SqVmC86hZA
title,4,4,0.9810,xdr,xdr_5,xsiam,xsiam_3,Close an issue,Close an issue,zuMRsk4_tJPsbykALAOW6A,ieCH~CK9fsW3tC3F55O14A
title,4,4,0.9815,cloud,runtime,xdr,xdr_5,Cloud causality view,Cloud causality view,HQEwsy68IO4JK0bfMhwKXw,D5_5bX4y9JIpX_DD~_Wgpg
title,4,4,0.9815,cloud,runtime,xsiam,xsiam_3,Cloud causality view,Cloud causality view,HQEwsy68IO4JK0bfMhwKXw,1lzk3C6hGCD84FrjXWnEgg
title,4,4,0.9815,xdr,xdr_5,xsiam,xsiam_3,Cloud causality view,Cloud causality view,D5_5bX4y9JIpX_DD~_Wgpg,1lzk3C6hGCD84FrjXWnEgg
title,4,4,,cloud,posture,xdr,xdr_5,Cloud Security Operations,Cloud Security Operations,oE1_oj4ZpbIue45uyfVk5A,0OzBj804RODIBDLLvu3RTw
title,4,4,1.0000,cloud,runtime,xdr,xdr_5,Cloud Security Operations,Cloud Security Operations,oE1_oj4ZpbIue45uyfVk5A,0OzBj804RODIBDLLvu3RTw
title,4,4,1.0000,xdr,xdr_5,xsiam,xsiam_3,Cloud Security Operations,Cloud Security Operations,0OzBj804RODIBDLLvu3RTw,oE1_oj4ZpbIue45uyfVk5A
title,4,4,,cloud,posture,xdr,xdr_5,Collaborative notes and comments,Collaborative notes and comments,mxci2DlcWns9xI~VYvHxSw,q14ATUv~6Vw8pkwXuSdGjA
title,4,4,,cloud,posture,xsiam,xsiam_3,Collaborative notes and comments,Collaborative notes and comments,mxci2DlcWns9xI~VYvHxSw,_jshepLDRsoYB3FOlDbZMw
title,4,4,1.0000,cloud,runtime,xdr,xdr_5,Collaborative notes and comments,Collaborative notes and comments,mxci2DlcWns9xI~VYvHxSw,q14ATUv~6Vw8pkwXuSdGjA
title,4,4,1.0000,cloud,runtime,xsiam,xsiam_3,Collaborative notes and comments,Collaborative notes and comments,mxci2DlcWns9xI~VYvHxSw,_jshepLDRsoYB3FOlDbZMw
title,4,4,1.0000,xdr,xdr_5,xsiam,xsiam_3,Collaborative notes and comments,Collaborative notes and comments,q14ATUv~6Vw8pkwXuSdGjA,_jshepLDRsoYB3FOlDbZMw
title,4,4,0.9696,xdr,xdr_5,xsiam,xsiam_3,COLLECT,COLLECT,2GdiSU4lPwd~fZZv65Vx1Q,uGupSvuMTv8wMsXDwxY5Ug
title,4,4,0.9722,xdr,xdr_5,xsiam,xsiam_3,Collect Broker VM Logs,Collect Broker VM Logs,Gmxd7Auh9vYlP9uXO7NsCA,ABzAqFjlfXnXqKKY0Li2wQ
title,5,4,,cloud,posture,agentix,agentix,Configure a sub-playbook loop,Configure a sub-playbook loop,i77sUZQmjJdlRvc75EGWAg,QxVzxEZX41pnYBEmvjhp2Q
title,5,4,1.0000,cloud,runtime,agentix,agentix,Configure a sub-playbook loop,Configure a sub-playbook loop,i77sUZQmjJdlRvc75EGWAg,QxVzxEZX41pnYBEmvjhp2Q
title,5,4,1.0000,xdr,xdr_5,xsiam,xsiam_3,Configure a sub-playbook loop,Configure a sub-playbook loop,CDwBa34Vrz17mVIrgkVjLQ,i77sUZQmjJdlRvc75EGWAg
title,5,4,1.0000,xdr,xdr_5,agentix,agentix,Configure a sub-playbook loop,Configure a sub-playbook loop,CDwBa34Vrz17mVIrgkVjLQ,QxVzxEZX41pnYBEmvjhp2Q
title,4,4,1.0000,xsiam,xsiam_3,agentix,agentix,Configure a sub-playbook loop,Configure a sub-playbook loop,i77sUZQmjJdlRvc75EGWAg,QxVzxEZX41pnYBEmvjhp2Q
title,4,4,,cloud,posture,xdr,xdr_5,Configure AWS integration instances and monitor integration instance health,Configure AWS integration instances and monitor integration instance health,vTu5Tx1p277H8XvtGGRHvQ,r98QqM4no2PRwZnQ4lTbaw
